Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Revenue,Transaction_ID_clean,Original_Tx_ID_clean,Status,Refund_Amount,is_returned,issue_category,Subject
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.2,1,Paid,919.2,100236.0,,,,0,General/Other,Not working as expected
100061,2023-11-17,C0002,Electronics,Laptop X,1598.23,1,Paid,1598.23,100061.0,,,,0,Delivery Issue,Delivery delay
100061,2023-11-17,C0002,Electronics,Laptop X,1598.23,1,Paid,1598.23,100061.0,,,,0,General/Other,Can't connect the app
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,101131.0,,,,0,General/Other,Refund for my purchase
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,101131.0,,,,0,Battery Issue,Battery dies in 2 days
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,101131.0,,,,0,General/Other,Can't connect the app
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,101131.0,,,,0,General/Other,Battery problem with my lock
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,101131.0,,,,0,General/Other,NordLock Pro battery drains fast
100391,,C0001,Smart Home,NordTherm,,1,Paid,,100391.0,,,,0,Battery Issue,Battery dies in 2 days
100391,,C0001,Smart Home,NordTherm,,1,Paid,,100391.0,,,,0,Delivery Issue,Tracking shows no updates
100391,,C0001,Smart Home,NordTherm,,1,Paid,,100391.0,,,,0,Battery Issue,Battery dies in 2 days
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,35.72,100319.0,,,,0,General/Other,NordLock Pro pairing issue
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,35.72,100319.0,,,,0,General/Other,Can't open the door
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,35.72,100319.0,,,,0,Delivery Issue,Delivery delay
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,35.72,100319.0,,,,0,Physical/Technical Defect,Return request
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,35.72,100319.0,,,,0,Battery Issue,Battery problem with my lock
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,230.36,100889.0,,,,0,Battery Issue,Battery dies in 2 days
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,230.36,100889.0,,,,0,Delivery Issue,Tracking shows no updates
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,230.36,100889.0,,,,0,Battery Issue,Battery dies in 2 days
100105,2023-11-19,C0056,Smart Home,NordCam Mini,82.4,1,Paid,82.4,100105.0,,,,0,,
100603,2023-12-04,C0002,Electronics,Laptop X,1771.94,1,Paid,1771.94,100603.0,,,,0,Delivery Issue,Delivery delay
